,WardName,WardCode,WardCodeN,Pop2011,Children,WorkingAge,Older,PerChildren,PerWorking,PerOlder,MeanAge,MedianAge,AreaSqK,PopDensity,PerBAME,PerForeign,PerNoEngl,Fertility,MaleLiEx,FemLiEx,AmbPer1000,AmbAlco,Employed,EmpRate,NoofJobs,EmpPerHead,NHSNFore,HousePri,PropSold,HousePla,detached,semidet,terraced,flatmaisap,owned,socialrent,privrent,pershared,perfree,Ctab,Ctcde,CTfgh,mortgage,landlord,incapacity,incomesup,jobseekers,jsa1624,lonepar,outofwork,noadults,lonenot,id2010,Perid2010,GCSE,absence,noqual,level4,crime,violence,robbery,theft,criminal,drugs,fires,openspace,cars,ptaccess,elections,Candidate,InnerOuter,x,y
0,City of London,00AA,,7375,620,5720,1035,8.406779661,77.55932203,14.03389831,41.4,39.0,3.2,3125.0,21.4,36.7,11.9,21.78571429,84.13,89.1,826.5789474,11.16193194,4747,75.26557793,382700,50.02183007,105.2287582,533879.8675,166,5530,0.4,0.2,1.4,98.0,42.3,16.5,35.9,0.296465222,4.994298746,4.1,63.1,32.8,0,15,1.558441558,1.168831169,2.42920637,3.295127412,16.0,18.0,0.86659065,24.17582418,529.75,20.0,363.0909091,0.436792453,6.7,68.4,611.9,59.4017094,3.931623932,,23.43280593,70.69897857,0.8,18.6425,0.385860889,7.723401061,38.75159778,Boris,Inner,532479.7201,181272.0
1,Barking and Dagenham   Abbey,00ABFX,E05000026,12786,3125,9021,640,24.44079462,70.55373064,5.005474738,29.4,28.0,1.3,10730.76923,71.9,57.3,25.7,103.6923077,82.92,87.18,179.8,1.313352416,5489,58.35016477,8200,0.88826087,108.6956522,168649.9074,54,4753,3.9,7.2,22.6,66.3,32.7,26.7,38.6,0.398873768,0.305021117,45.77157803,56.47340889,0.108979948,20,115,3.244680851,5.585106383,8.737771086,17.71415592,41.22257053,35.26645768,8.748906387,55.31062124,166.0,85.71428571,335.3592593,1.477417262,16.4,34.5,172.5,40.51470588,9.411764706,71.76470588,14.85294118,14.48529412,0.6,19.6072,0.54768154,5.98735589,25.68894145,Ken,Outer,544218.2356,184361.398
2,Barking and Dagenham   Alibon,00ABFY,E05000027,10385,2742,6565,1078,26.40346654,63.21617718,10.38035628,33.5,32.0,1.4,7357.142857,29.9,24.7,7.9,103.7209302,76.27,80.9,136.2,0.399385561,4214,59.26863572,800,0.138852459,31.14754098,162670.942,69,4045,3.8,18.2,63.8,14.2,45.1,36.8,15.9,0.558497833,0.28887819,9.294949988,90.7538424,0.073188583,15,60,6.475409836,9.754098361,10.20254184,20.28531814,47.77070064,37.89808917,12.44019139,60.99518459,124.0,100.0,333.1115702,1.454398148,31.2,16.7,93.17073171,23.70731707,5.268292683,25.95121951,12.19512195,4.390243902,0.3,22.4129,0.815159909,3.275530044,20.34792528,Ken,Outer,549061.5648,185152.6226
3,Barking and Dagenham   Becontree,00ABFZ,E05000028,11545,2937,7514,1094,25.43958424,65.08445214,9.475963621,33.1,32.0,1.3,9807.692308,41.2,30.1,10.5,67.38461538,75.26,80.99,131.1,0.419401896,4674,57.89669268,1200,0.140963855,38.55421687,175498.2743,113,4378,4.2,24.7,52.0,19.1,46.7,29.4,20.1,0.814205284,0.57167605,11.9434629,90.7656066,0.094228504,30,35,5.207100592,6.982248521,10.23438795,12.74153548,45.14705882,36.32352941,10.73182137,51.51057402,185.0,100.0,327.0138554,1.509858388,28.0,20.6,91.68,19.12,4.8,28.08,11.04,4.64,0.8,3.03888,0.870236147,2.848544132,22.53821097,Ken,Outer,546997.5893,186088.9148
4,Barking and Dagenham   Chadwell Heath,00ABGA,E05000029,10021,2456,6001,1564,24.50853208,59.88424309,15.60722483,36.6,34.0,3.4,2911.764706,37.9,24.8,6.5,76.66666667,78.9,82.71,145.4,0.576631259,3916,58.675457,1700,0.29559322,26.27118644,196371.8293,82,4062,3.8,29.6,32.2,34.5,54.0,32.0,12.4,0.209559924,0.44905698,33.28380386,66.36948985,0.44576523,20,60,5.593220339,7.372881356,8.964560242,19.28640295,44.60694698,35.46617916,10.14713343,55.23978686,96.0,100.0,339.7823077,1.538590604,29.1,19.5,100.4081633,19.18367347,6.836734694,35.0,11.63265306,2.653061224,1.1,56.4073,0.918061898,2.27230196,25.31881358,Ken,Outer,548358.8573,189491.71
5,Barking and Dagenham   Eastbrook,00ABGB,E05000030,10506,2232,6731,1543,21.24500286,64.06815153,14.68684561,37.5,37.0,3.5,3114.285714,24.8,19.0,4.5,65.90909091,76.64,79.02,137.4,0.33020066,4686,62.84871245,4000,0.572056738,18.43971631,197375.3247,77,3977,3.2,32.6,45.5,18.4,67.6,20.0,11.2,0.190367409,0.276032743,14.81573705,84.93525896,0.547808765,10,35,3.687943262,4.822695035,8.781001251,23.44894131,35.50295858,27.21893491,6.663236429,48.69791667,288.0,100.0,329.5134752,1.055846917,29.9,18.5,72.35023041,15.48387097,2.949308756,23.96313364,7.834101382,3.963133641,1.0,51.1165,1.060457937,2.308725581,24.1214693,Boris,Outer,550788.7056,186098.255
6,Barking and Dagenham   Eastbury,00ABGC,E05000031,11624,3129,7387,1108,26.9184446,63.54955265,9.532002753,32.9,31.0,1.4,7785.714286,41.7,32.2,11.9,90.90909091,79.86,85.23,118.9,0.526177322,4620,58.34069958,1000,0.14676259,48.92086331,179358.375,72,4321,5.0,21.0,52.5,21.5,44.0,37.4,17.3,0.309704061,0.206469374,18.72261932,81.41572516,0.046114826,25,65,5.539568345,7.769784173,10.19981548,23.21723663,45.63662375,36.76680973,11.11891386,52.45901639,135.0,100.0,349.0125984,1.399894292,28.9,20.0,87.55760369,20.73732719,4.239631336,28.38709677,10.69124424,5.34562212,1.2,18.1054,0.782771536,2.870088373,21.51487593,Ken,Outer,546140.2395,183987.5651
7,Barking and Dagenham   Gascoigne,00ABGD,E05000032,12452,3922,7774,756,31.49694828,62.43173787,6.071313845,29.0,28.0,1.1,10954.54545,60.4,48.2,18.7,130.1960784,73.35,83.55,147.2,0.907555931,4433,54.33929885,2900,0.42173913,69.56521739,152625.0,48,4711,2.2,6.8,19.5,71.4,23.7,54.0,18.3,1.06810151,0.417603598,60.72263549,39.21360255,0.08501594,15,140,6.666666667,9.931972789,12.1872664,18.34826215,49.87562189,42.28855721,14.74703983,57.17539863,37.0,100.0,330.7742424,1.370996348,25.5,25.2,135.154185,26.43171806,5.550660793,35.68281938,11.71806167,12.42290749,1.4,20.3279,0.541011841,4.03245566,25.59209636,Ken,Outer,544595.7531,183561.6805
8,Barking and Dagenham   Goresbrook,00ABGE,E05000033,11267,2993,7144,1130,26.56430283,63.40640809,10.02928907,33.7,33.0,1.3,8846.153846,33.3,26.8,7.7,97.44680851,79.33,81.41,139.9,0.177981185,4596,60.14919513,1300,0.179863014,27.39726027,164310.6923,65,4296,4.8,17.4,62.5,15.3,43.1,37.3,15.8,1.05618177,0.363894559,10.63484708,89.29564411,0.092678406,20,45,5.479452055,7.671232877,9.579700358,18.67017714,44.70938897,34.42622951,11.11111111,57.33944954,142.0,100.0,331.8974843,1.411272321,30.0,18.8,82.88209607,21.92139738,5.589519651,25.6768559,11.1790393,2.969432314,1.6,17.1153,0.836768538,2.557064333,20.50673001,Ken,Outer,548211.3194,184071.8051
9,Barking and Dagenham   Heath,00ABGF,E05000034,10786,2834,6582,1370,26.27480067,61.02354905,12.70165029,34.5,32.0,2.0,5150.0,32.3,24.1,6.2,83.40425532,75.13,79.27,198.6,1.01152009,4122,57.75535939,2500,0.417666667,30.0,159452.6364,55,4418,2.9,18.9,41.9,36.4,41.6,45.3,11.3,0.315223438,0.389393658,37.31481481,64.65277778,0.046296296,15,80,6.611570248,10.90909091,12.24198565,19.98803476,52.03915171,41.43556281,11.74426685,55.41490858,91.0,100.0,326.0090226,1.240289855,32.1,17.6,109.4117647,23.23529412,6.862745098,39.50980392,12.74509804,4.803921569,1.4,38.4054,0.73917072,2.566295169,22.24054983,Ken,Outer,549443.3992,186491.6598
