,lat,lon,name,projected_lon,projected_lat,centroid_distance,travel_time
0,51.52916347,-0.109970527,"River Street , Clerkenwell",27811.3884466,28282.2703691,3262.45464453,17.1333333333
1,51.49960695,-0.197574246,"Phillimore Gardens, Kensington",21813.7279443,24840.8279656,5247.92806668,17.3333333333
2,51.52128377,-0.084605692,"Christopher Street, Liverpool Street",29594.3426615,27451.4751865,3455.0766864,19.3
3,51.53005939,-0.120973687,"St. Chad's Street, King's Cross",27045.3441129,28362.2690509,3253.52828714,16.2333333333
4,51.49313,-0.156876,"Sedding Street, Sloane Square",24657.6837636,24190.6794456,2566.92163827,10.95
5,51.51811784,-0.144228881,"Broadcasting House, Marylebone",25465.4435868,26992.6396425,2464.77498313,11.5333333333
6,51.53430039,-0.1680743,"Charlbert Street, St. John's Wood",23765.3766053,28751.1697316,4907.90943911,22.4333333333
7,51.52834133,-0.170134484,"Lodge Road, St. John's Wood",23639.0222916,28084.6727081,4530.31011613,20.9833333333
8,51.5073853,-0.096440751,"New Globe Walk, Bankside",28813.2190094,25883.9130705,1921.68290768,9.58333333333
9,51.50597426,-0.092754157,"Park Street, Bankside",29073.236007,25733.6070494,2112.93049052,10.6166666667
10,51.52395143,-0.122502346,"Brunswick Square, Bloomsbury",26956.7139047,27680.0663203,2573.18237756,13.9
11,51.52168078,-0.130431727,"Malet Street, Bloomsbury",26412.9033118,27413.3765657,2392.34816051,13.45
12,51.51991453,-0.136039674,"Scala Street, Fitzrovia",26028.7216085,27206.9599766,2335.66435674,11.95
14,51.51772703,-0.127854211,"Great Russell Street, Bloomsbury",26603.0354154,26978.1163126,1923.17854423,9.9
15,51.52635795,-0.125979294,"Cartwright Gardens , Bloomsbury",26708.5709086,27941.5931575,2853.91970345,15.4
16,51.5216612,-0.109006325,"Hatton Wall, Holborn",27899.86442,27449.4117141,2488.53154132,12.3833333333
17,51.51477076,-0.12221963,"Drury Lane, Covent Garden",27002.544766,26659.2683557,1551.39452685,8.45
18,51.52505093,-0.131161087,"Taviton Street, Bloomsbury",26352.709513,27786.9955905,2768.74038657,14.2
19,51.52773634,-0.135273468,"Drummond Street , Euston",26059.7198352,28078.4524518,3131.98252408,15.2333333333
20,51.53007835,-0.13884627,"Hampstead Road (Cartmel), Euston",25805.1744662,28332.6765689,3457.63904297,14.5
21,51.5222641,-0.114079481,"Northington Street , Holborn",27546.0630389,27507.3935371,2448.4273335,13.1666666667
22,51.51943538,-0.119123345,"Red Lion Square, Holborn",27204.1174759,27183.7024225,2080.3126626,11.5833333333
